,hour_of_day,day_of_week,month,holiday,weekday,summertime,temp,dew,humidity,precip,snowdepth,windspeed,cloudcover,visibility,increase_stock,daytime,rushhour,weather_score,weather_score_daytime
31,16,0,11,0,1,0,10.0,-3.9,37.53,0.0,0.0,31.1,48.1,16.0,low_bike_demand,1,1,0.2732194992997905,0.2732194992997905
32,10,5,8,0,0,1,24.9,22.1,84.38,0.0,0.0,0.0,76.2,16.0,low_bike_demand,1,0,0.18683550887134026,0.18683550887134026
33,16,0,7,0,1,1,31.6,16.1,39.32,0.0,0.0,9.1,80.3,16.0,low_bike_demand,1,1,0.6328640064000906,0.6328640064000906
34,14,6,5,0,0,1,19.4,16.7,83.97,0.0,0.0,12.6,71.4,16.0,low_bike_demand,1,0,0.11367164699094023,0.11367164699094023
35,17,4,3,0,1,0,21.0,9.4,47.47,0.0,0.0,20.0,44.6,16.0,high_bike_demand,1,1,0.33742721091884054,0.33742721091884054
36,14,0,3,0,1,1,7.8,4.3,78.92,0.0,0.0,6.1,99.2,14.2,low_bike_demand,1,0,0.019482814545990323,0.019482814545990323
37,4,4,6,0,1,1,19.2,16.6,84.53,0.0,0.0,5.4,0.0,16.0,low_bike_demand,0,0,0.05469726573734035,0.0
38,14,5,9,0,0,1,22.8,16.6,68.14,0.0,0.0,12.6,97.8,16.0,high_bike_demand,1,0,0.2514329604736405,0.2514329604736405
39,16,3,1,0,1,0,12.3,-2.9,34.75,0.0,0.0,5.6,24.4,16.0,low_bike_demand,1,1,0.33141033961964017,0.33141033961964017
40,8,3,11,1,1,0,8.7,6.1,83.86,0.0,0.0,8.9,24.4,16.0,low_bike_demand,1,0,-0.04636971819480984,-0.04636971819480984
41,1,1,9,0,1,1,19.7,14.9,74.24,0.0,0.0,7.1,98.8,16.0,low_bike_demand,0,0,0.18491929965089005,0.0
42,18,5,3,0,0,0,7.8,-8.4,30.9,0.0,0.0,18.7,46.6,16.0,low_bike_demand,1,1,0.3252974717408903,0.3252974717408903
43,10,4,7,0,1,1,27.2,23.3,79.32,0.0,0.0,12.2,97.2,16.0,low_bike_demand,1,0,0.2523613568740404,0.2523613568740404
44,20,0,8,0,1,1,25.0,21.1,78.86,0.0,0.0,25.2,87.5,15.2,low_bike_demand,0,0,0.2181019515529401,0.0
45,11,5,4,0,0,1,22.3,13.7,58.5,0.0,0.0,29.8,82.3,16.0,high_bike_demand,1,0,0.2952921531356405,0.2952921531356405
46,20,3,1,0,1,0,-0.7,-9.0,53.58,0.0,0.0,10.6,79.3,16.0,low_bike_demand,0,0,-0.0071937951407597955,-0.0
47,11,4,11,0,1,0,11.7,7.2,74.23,0.0,0.0,5.4,100.0,15.7,low_bike_demand,1,0,0.0828910188063402,0.0828910188063402
48,18,2,7,0,1,1,32.2,22.1,55.42,0.0,0.0,15.6,85.6,16.0,high_bike_demand,1,1,0.46633025375114046,0.46633025375114046
49,3,5,2,0,0,0,-0.1,-9.4,49.58,0.0,0.0,33.9,25.4,16.0,low_bike_demand,0,0,-0.017791296563509973,-0.0
50,11,5,2,0,0,0,1.7,-7.8,49.52,0.0,0.0,19.2,99.6,16.0,low_bike_demand,1,0,0.07081657588794021,0.07081657588794021
51,15,3,4,0,1,1,11.7,9.7,87.55,0.019,0.0,17.3,100.0,10.9,low_bike_demand,1,1,0.045897468914690154,0.045897468914690154
52,16,4,8,0,1,1,32.4,23.2,58.3,0.0,0.0,10.3,88.9,15.8,high_bike_demand,1,1,0.44356499042249053,0.44356499042249053
53,17,0,5,0,1,1,25.7,9.3,35.57,0.0,0.0,7.0,24.4,16.0,high_bike_demand,1,1,0.5467806953801402,0.5467806953801402
54,14,5,12,0,0,0,15.5,12.2,80.5,0.0,0.0,27.3,88.9,16.0,high_bike_demand,1,0,0.09260732319499021,0.09260732319499021
55,4,3,8,0,1,1,23.2,22.2,93.7,0.0,0.0,9.3,94.3,16.0,low_bike_demand,0,0,0.14830389115039022,0.0
56,0,0,7,0,1,1,26.9,22.1,75.08,0.0,0.0,9.9,24.4,16.0,low_bike_demand,0,0,0.2118451648014903,0.0
57,7,4,2,0,1,0,4.2,-6.6,45.11,0.0,0.0,22.5,82.9,16.0,low_bike_demand,1,0,0.12436579593049024,0.12436579593049024
58,20,6,4,0,0,1,15.9,3.5,43.45,0.0,0.0,7.4,83.9,16.0,low_bike_demand,0,0,0.32744592931854055,0.0
59,1,6,6,0,0,1,24.8,20.6,77.28,0.0,0.0,17.8,79.3,16.0,low_bike_demand,0,0,0.21394029733384046,0.0
60,12,3,5,0,1,1,19.9,14.4,70.65,0.0,0.0,9.5,100.0,16.0,low_bike_demand,1,0,0.20108983037319028,0.20108983037319028
61,5,1,12,0,1,0,5.5,2.1,78.47,0.0,0.0,11.0,99.2,15.9,low_bike_demand,0,0,-0.01674308290605986,-0.0
62,16,1,8,0,1,1,32.2,23.7,60.65,0.0,0.0,17.7,79.3,16.0,low_bike_demand,1,1,0.4118668554250906,0.4118668554250906
63,1,3,5,0,1,1,11.4,6.5,71.81,0.0,0.0,9.0,44.6,16.0,low_bike_demand,0,0,0.040263201897940304,0.0
64,13,2,6,0,1,1,24.9,5.7,28.98,0.0,0.0,22.0,26.4,16.0,low_bike_demand,1,0,0.6417542980455402,0.6417542980455402
65,21,0,3,0,1,0,9.8,-0.7,48.31,0.0,0.0,7.4,79.3,16.0,low_bike_demand,0,0,0.18951462101034022,0.0
66,11,3,5,0,1,1,28.9,12.1,35.48,0.0,0.0,7.6,91.1,16.0,low_bike_demand,1,0,0.6543422294895405,0.6543422294895405
67,12,4,3,0,1,1,14.9,12.8,87.32,0.0,0.0,14.0,24.4,16.0,high_bike_demand,1,0,0.01771972716614012,0.01771972716614012
68,15,3,8,0,1,1,32.3,23.6,60.06,0.0,0.0,6.7,48.2,14.2,low_bike_demand,1,1,0.3990961135888902,0.3990961135888902
69,5,2,5,0,1,1,10.5,-3.8,36.23,0.0,0.0,11.3,99.6,16.0,low_bike_demand,0,0,0.33189246362989033,0.0
70,4,0,10,1,1,1,18.7,16.2,85.44,0.0,0.0,17.6,100.0,16.0,low_bike_demand,0,0,0.12703836370434007,0.0
71,3,0,11,0,1,0,4.3,-6.2,46.59,0.0,0.0,27.2,27.3,16.0,low_bike_demand,0,0,0.07585737602544007,0.0
72,13,2,6,0,1,1,32.9,22.1,52.99,0.0,0.0,13.0,44.6,16.0,low_bike_demand,1,0,0.4629900258981401,0.4629900258981401
73,5,4,3,0,1,1,9.2,7.8,91.28,0.0,0.0,8.9,90.1,7.2,low_bike_demand,0,0,0.01059005588519013,0.0
74,7,6,4,0,0,1,17.7,15.1,84.41,0.0,0.0,28.1,100.0,16.0,low_bike_demand,1,0,0.11388021733489018,0.11388021733489018
75,14,5,10,0,0,1,25.0,16.6,59.8,0.0,0.0,21.8,81.3,16.0,high_bike_demand,1,0,0.3228555069826402,0.3228555069826402
76,11,6,8,0,0,1,29.2,22.8,68.43,0.0,0.0,21.9,79.3,16.0,high_bike_demand,1,0,0.3195250168993904,0.3195250168993904
77,15,0,8,0,1,1,33.3,24.2,59.1,0.0,0.0,16.8,82.9,16.0,high_bike_demand,1,1,0.44809265798074027,0.44809265798074027
78,1,5,8,0,0,1,24.7,19.9,74.44,0.0,0.0,12.3,98.8,16.0,low_bike_demand,0,0,0.2411795608914904,0.0
79,17,2,3,0,1,1,10.6,-12.2,18.87,0.0,0.0,34.8,0.0,16.0,high_bike_demand,1,1,0.5843417612786403,0.5843417612786403
80,17,3,4,0,1,1,11.6,9.4,85.87,0.204,0.0,20.2,99.6,14.1,low_bike_demand,1,1,0.03626378047254031,0.03626378047254031
81,21,3,10,0,1,1,16.7,14.2,85.44,0.477,0.0,17.9,100.0,15.9,low_bike_demand,0,0,0.09981925348129017,0.0
82,0,0,8,0,1,1,26.4,24.2,87.74,0.0,0.0,9.0,61.2,15.8,low_bike_demand,0,0,0.1820918251682403,0.0
83,6,3,4,0,1,1,19.9,15.6,76.08,0.0,0.0,5.6,79.3,16.0,low_bike_demand,0,0,0.15791856319974007,0.0
84,4,5,8,0,0,1,24.8,22.9,88.92,0.0,0.0,7.1,89.1,8.7,low_bike_demand,0,0,0.1905109979818902,0.0
85,13,0,4,0,1,1,14.9,-0.8,34.22,0.0,0.0,19.8,46.6,16.0,low_bike_demand,1,0,0.3986642845512405,0.3986642845512405
86,23,0,11,0,1,0,10.6,6.5,75.47,0.0,0.0,4.8,0.0,16.0,low_bike_demand,0,0,-0.02044159800035983,-0.0
87,18,0,12,0,1,0,9.4,1.0,55.78,0.0,0.0,13.1,44.6,16.0,low_bike_demand,1,1,0.09678031395729014,0.09678031395729014
88,9,1,9,0,1,1,22.2,18.5,79.82,0.0,0.0,5.2,35.4,16.0,low_bike_demand,1,0,0.14219038231274028,0.14219038231274028
89,1,1,2,0,1,0,2.2,-2.8,69.61,0.0,0.0,11.8,24.4,16.0,low_bike_demand,0,0,-0.0858603433058599,-0.0
90,2,2,7,0,1,1,24.1,18.9,72.57,0.0,0.0,11.6,68.0,16.0,low_bike_demand,0,0,0.2193001410080404,0.0
91,18,6,4,0,0,1,12.8,-5.0,28.68,0.0,0.0,11.8,45.4,16.0,high_bike_demand,1,1,0.4484747075974407,0.4484747075974407
92,7,3,12,0,1,0,0.1,-5.8,64.4,0.0,0.0,4.8,44.6,16.0,low_bike_demand,1,0,-0.07985301415805979,-0.07985301415805979
93,8,4,4,0,1,1,13.2,-0.7,38.29,0.0,0.0,18.4,99.8,16.0,high_bike_demand,1,0,0.3540026925070403,0.3540026925070403
94,11,6,12,0,0,0,4.3,1.1,79.62,0.0,0.0,22.0,91.1,16.0,low_bike_demand,1,0,-0.04009977228265982,-0.04009977228265982
95,17,3,2,0,1,0,-0.1,-2.9,81.65,0.0,0.37,17.9,100.0,16.0,low_bike_demand,1,1,-0.0866834954951099,-0.0866834954951099
96,11,0,3,0,1,1,9.3,-3.4,40.59,0.0,0.0,24.9,24.4,16.0,low_bike_demand,1,0,0.20415681449389034,0.20415681449389034
97,7,5,10,0,0,1,7.5,5.9,89.56,0.0,0.0,0.0,46.2,16.0,low_bike_demand,1,0,-0.05777816392045976,-0.05777816392045976
98,20,6,4,0,0,1,16.1,12.8,80.73,0.0,0.0,27.7,100.0,16.0,low_bike_demand,0,0,0.10880063045149035,0.0
99,22,6,8,0,0,1,28.4,22.8,71.41,0.0,0.0,15.9,44.6,16.0,low_bike_demand,0,0,0.26166517103039055,0.0
100,16,0,5,0,1,1,14.4,0.0,37.21,0.0,0.0,29.8,86.1,16.0,low_bike_demand,1,1,0.3749658421233404,0.3749658421233404
101,5,2,10,0,1,1,16.6,15.6,93.95,0.0,0.0,20.1,100.0,9.9,low_bike_demand,0,0,0.09127755964349038,0.0
102,20,3,3,0,1,1,11.0,9.4,89.58,0.0,0.0,12.6,100.0,4.7,low_bike_demand,0,0,0.04166756403444016,0.0
103,4,3,2,0,1,0,3.8,-4.4,55.22,0.0,0.0,19.8,94.5,16.0,low_bike_demand,0,0,0.059283733096640145,0.0
104,16,3,12,0,1,0,6.1,-6.1,41.3,0.0,0.0,9.3,97.4,16.0,low_bike_demand,1,1,0.20567990914899026,0.20567990914899026
105,8,0,6,1,1,1,17.8,5.2,43.36,0.0,0.0,0.4,83.9,16.0,low_bike_demand,1,0,0.3587071235859405,0.3587071235859405
106,22,3,4,0,1,1,14.8,8.3,64.67,0.0,0.0,17.7,89.1,16.0,low_bike_demand,0,0,0.14901449619569018,0.0
107,10,5,11,0,0,0,11.9,10.3,89.65,0.0,0.0,9.9,24.4,13.3,low_bike_demand,1,0,-0.020918295526209607,-0.020918295526209607
108,12,0,6,1,1,1,26.0,4.3,24.84,0.0,0.0,18.3,50.0,16.0,high_bike_demand,1,0,0.7759479538156904,0.7759479538156904
109,22,3,9,0,1,1,21.0,19.3,90.41,1.3430000000000002,0.0,0.5,99.2,13.3,low_bike_demand,0,0,0.13327011496449026,0.0
110,3,0,5,0,1,1,21.1,10.6,51.02,0.0,0.0,31.4,99.2,16.0,low_bike_demand,0,0,0.3455485139686405,0.0
111,8,5,4,0,0,1,9.2,2.9,64.76,0.0,0.0,7.4,24.4,16.0,low_bike_demand,1,0,0.027484893468440186,0.027484893468440186
112,13,6,2,0,0,0,2.2,-13.9,29.4,0.0,0.0,15.9,24.4,16.0,low_bike_demand,1,0,0.23130992191329014,0.23130992191329014
113,4,3,8,0,1,1,23.6,20.0,80.06,0.0,0.0,12.4,79.3,16.0,low_bike_demand,0,0,0.1877796952533406,0.0
114,21,6,6,0,0,1,24.2,18.8,71.86,0.0,0.0,17.9,79.3,16.0,low_bike_demand,0,0,0.23464597193309022,0.0
115,6,0,6,0,1,1,24.3,18.8,71.29,0.0,0.0,21.4,33.7,16.0,low_bike_demand,0,0,0.20153238105794058,0.0
116,14,4,1,0,1,0,-3.4,-14.4,42.4,0.0,0.3,17.7,79.3,16.0,low_bike_demand,1,0,0.032716245184590154,0.032716245184590154
117,8,6,7,0,0,1,27.1,23.9,82.45,0.0,0.0,5.6,24.4,16.0,low_bike_demand,1,0,0.17878450074064045,0.17878450074064045
118,1,5,3,0,0,0,2.8,-10.8,36.22,0.0,0.0,24.1,0.0,16.0,low_bike_demand,0,0,0.13242872891679025,0.0
119,9,1,5,0,1,1,22.8,18.3,75.4,0.0,0.0,11.4,44.6,16.0,low_bike_demand,1,0,0.16860858837324033,0.16860858837324033
120,12,6,6,0,0,1,28.9,19.8,57.83,0.0,0.0,21.9,46.6,16.0,high_bike_demand,1,0,0.3626236397911906,0.3626236397911906
121,17,5,8,0,0,1,27.8,21.7,69.66,0.0,0.0,15.8,61.2,16.0,high_bike_demand,1,1,0.2826652958564404,0.2826652958564404
122,18,2,5,0,1,1,21.5,9.4,45.84,0.0,0.0,20.2,84.7,16.0,high_bike_demand,1,1,0.38909806480784015,0.38909806480784015
123,6,4,8,0,1,1,21.3,18.7,85.31,0.0,0.0,5.2,0.0,16.0,low_bike_demand,0,0,0.08299038604944031,0.0
124,22,6,11,0,0,0,13.3,9.4,77.26,0.0,0.0,0.7,98.8,16.0,low_bike_demand,0,0,0.08781284923949029,0.0
125,2,3,5,0,1,1,15.4,11.7,78.69,0.0,0.0,6.7,44.6,16.0,low_bike_demand,0,0,0.06675798909299036,0.0
126,16,2,3,0,1,0,15.5,-7.2,20.28,0.0,0.0,11.3,0.0,16.0,low_bike_demand,1,1,0.6444100516397904,0.6444100516397904
127,16,5,5,0,0,1,33.2,18.8,42.58,0.0,0.0,16.4,44.6,16.0,high_bike_demand,1,1,0.5861428098739407,0.5861428098739407
128,19,5,7,0,0,1,30.4,20.2,54.43,0.0,0.0,8.7,49.3,16.0,high_bike_demand,1,1,0.41734884027279073,0.41734884027279073
129,16,4,11,0,1,0,16.1,8.3,59.83,0.0,0.0,6.9,99.2,16.0,high_bike_demand,1,1,0.20877695283529052,0.20877695283529052
130,7,3,10,0,1,1,18.7,15.8,83.2,0.0,0.0,8.9,100.0,16.0,low_bike_demand,1,0,0.13385589138739007,0.13385589138739007
131,2,2,11,0,1,0,7.7,4.3,78.99,0.0,0.0,12.8,97.3,16.0,low_bike_demand,0,0,0.00919483803424026,0.0
132,14,1,12,0,1,0,5.5,-11.7,27.66,0.0,0.0,27.1,24.4,16.0,low_bike_demand,1,0,0.3131609868462901,0.3131609868462901
133,18,1,8,0,1,1,28.0,18.5,56.25,0.0,0.0,37.4,98.2,16.0,low_bike_demand,1,1,0.4025333080533404,0.4025333080533404
134,21,6,3,0,0,1,15.2,1.6,39.78,0.0,0.0,5.4,24.4,16.0,low_bike_demand,0,0,0.31219286697724025,0.0
135,8,3,9,0,1,1,24.3,23.3,94.58,0.058,0.0,13.7,100.0,6.2,low_bike_demand,1,0,0.18660300102519045,0.18660300102519045
136,1,3,11,1,1,0,3.0,-4.0,60.18,0.0,0.0,7.4,79.3,16.0,low_bike_demand,0,0,0.009006133401640137,0.0
137,20,1,11,0,1,0,6.6,-5.1,43.23,0.0,0.0,31.6,45.4,16.0,low_bike_demand,0,0,0.15584658320383993,0.0
138,22,0,1,0,1,0,3.1,-1.2,73.76,0.0,0.0,0.4,79.3,16.0,low_bike_demand,0,0,-0.041997606297659806,-0.0
139,2,1,6,0,1,1,23.1,21.1,88.4,0.0,0.0,7.1,80.3,16.0,low_bike_demand,0,0,0.15412163607829021,0.0
140,17,4,3,0,1,1,9.3,7.2,86.96,0.481,0.0,7.5,100.0,15.8,low_bike_demand,1,1,0.007789183196490135,0.007789183196490135
141,8,0,1,0,1,0,-0.1,-9.5,49.15,0.138,0.26,13.3,79.3,16.0,low_bike_demand,1,0,0.028103209546090135,0.028103209546090135
142,19,2,10,0,1,1,20.9,17.8,82.56,0.0,0.0,7.3,81.3,16.0,high_bike_demand,1,1,0.14997193859279023,0.14997193859279023
143,5,5,4,0,0,1,12.5,7.6,72.07,0.0,0.0,4.9,45.4,16.0,low_bike_demand,0,0,0.054979265255090115,0.0
144,4,5,11,0,0,0,9.1,7.7,91.08,0.0,0.0,0.4,0.0,12.9,low_bike_demand,0,0,-0.07075707496065997,-0.0
145,3,1,1,0,1,0,4.9,2.1,82.59,0.0,0.0,6.7,98.8,16.0,low_bike_demand,0,0,-0.02811478386080979,-0.0
146,20,6,5,0,0,1,16.1,2.6,40.38,0.0,0.0,15.7,24.4,16.0,low_bike_demand,0,0,0.3202131675613904,0.0
147,4,3,12,0,1,0,2.7,-2.1,70.55,0.3,0.3,10.7,100.0,16.0,low_bike_demand,0,0,-0.026948829798209784,-0.0
148,3,4,4,0,1,1,13.2,8.9,75.33,0.19,0.0,11.9,96.4,16.0,low_bike_demand,0,0,0.08983099281799023,0.0
149,2,6,4,0,0,1,7.4,-0.1,59.05,0.0,0.0,0.0,89.1,16.0,low_bike_demand,0,0,0.08388671613804022,0.0
150,0,6,4,0,0,1,18.6,16.7,88.58,0.0,0.0,5.5,92.9,15.9,low_bike_demand,0,0,0.11041689214329042,0.0
151,9,5,3,0,0,0,3.8,-3.9,57.3,0.0,0.0,38.2,100.0,16.0,low_bike_demand,1,0,0.049920170238040185,0.049920170238040185
152,14,1,11,0,1,0,9.9,2.8,60.93,0.0,0.0,11.1,98.1,16.0,low_bike_demand,1,0,0.10978932048579015,0.10978932048579015
153,13,4,3,0,1,0,18.4,11.5,64.31,0.0,0.0,20.6,93.8,16.0,low_bike_demand,1,0,0.21136725764394027,0.21136725764394027
154,11,6,3,0,0,1,13.8,0.7,40.76,0.0,0.0,27.0,87.5,16.0,high_bike_demand,1,0,0.32488430834084037,0.32488430834084037
155,7,4,8,0,1,1,21.4,19.2,87.53,0.0,0.0,8.7,24.4,16.0,low_bike_demand,1,0,0.09646457347639026,0.09646457347639026
156,17,4,7,0,1,1,23.9,21.8,88.54,0.008,0.0,26.7,96.1,4.0,low_bike_demand,1,1,0.20081445150869026,0.20081445150869026
157,7,5,5,0,0,1,20.5,17.1,80.88,0.0,0.0,10.5,62.2,16.0,low_bike_demand,1,0,0.13520617479259034,0.13520617479259034
158,7,6,10,0,0,1,18.7,17.2,90.89,0.0,0.0,6.7,89.3,16.0,low_bike_demand,1,0,0.10262969573719016,0.10262969573719016
159,16,2,1,1,1,0,6.6,-7.9,34.79,0.0,0.0,31.7,85.8,16.0,low_bike_demand,1,1,0.2784435879316902,0.2784435879316902
160,4,6,1,0,0,0,2.8,-5.0,56.41,0.0,0.0,18.2,24.4,16.0,low_bike_demand,0,0,-0.019401075870659867,-0.0
161,11,5,4,0,0,1,14.2,12.3,87.86,0.0,0.0,5.5,100.0,16.0,high_bike_demand,1,0,0.06245933159909012,0.06245933159909012
162,13,1,9,0,1,1,24.9,21.1,79.81,0.0,0.0,9.2,59.8,16.0,low_bike_demand,1,0,0.19595294595724022,0.19595294595724022
163,6,0,4,1,1,1,14.3,8.3,67.17,0.0,0.0,13.9,89.3,16.0,low_bike_demand,0,0,0.1340462486779902,0.0
164,17,5,12,0,0,0,7.8,-3.9,43.55,0.0,0.0,33.0,89.7,16.0,low_bike_demand,1,1,0.20561493266914033,0.20561493266914033
165,21,2,9,0,1,1,20.8,11.3,54.42,0.0,0.0,12.2,79.3,16.0,low_bike_demand,0,0,0.29783292567964037,0.0
166,19,3,5,0,1,1,28.7,10.2,31.61,0.0,0.0,14.3,44.6,16.0,high_bike_demand,1,1,0.6789906396175907,0.6789906396175907
167,9,4,10,0,1,1,9.1,6.5,83.64,0.0,0.0,0.1,25.3,16.0,low_bike_demand,1,0,-0.04270826923760973,-0.04270826923760973
168,17,3,12,0,1,0,8.4,2.6,67.02,0.0,0.0,17.0,99.2,16.0,low_bike_demand,1,1,0.06550932599344017,0.06550932599344017
169,3,3,1,0,1,0,3.8,-3.3,59.9,0.0,0.0,31.1,86.5,16.0,low_bike_demand,0,0,0.025440397732490072,0.0
170,14,2,4,0,1,1,27.3,14.3,44.96,0.0,0.0,15.1,82.9,16.0,high_bike_demand,1,0,0.4933141875362903,0.4933141875362903
171,0,0,11,0,1,0,11.6,10.6,93.61,0.0,0.0,0.4,49.5,15.6,low_bike_demand,0,0,-0.013630577714959902,-0.0
172,1,4,11,0,1,0,10.5,5.8,72.4,0.0,0.0,10.7,100.0,16.0,low_bike_demand,0,0,0.0673304648282903,0.0
173,10,5,6,0,0,1,26.0,20.0,69.83,0.0,0.0,5.2,86.8,16.0,low_bike_demand,1,0,0.27923185268704054,0.27923185268704054
174,13,5,9,0,0,1,22.2,16.2,68.73,0.0,0.0,16.2,63.5,16.0,high_bike_demand,1,0,0.21127482882174053,0.21127482882174053
175,21,0,4,0,1,1,12.0,-2.1,37.4,0.0,0.0,25.9,46.4,16.0,low_bike_demand,0,0,0.3033387587482905,0.0
176,13,6,11,0,0,0,11.9,0.0,43.97,0.0,0.0,11.2,24.4,16.0,high_bike_demand,1,0,0.2145241450902402,0.2145241450902402
177,7,3,9,0,1,1,24.3,23.3,94.6,0.036,0.0,12.4,76.2,11.0,low_bike_demand,1,0,0.16024405007374032,0.16024405007374032
178,23,0,3,0,1,1,-1.3,-15.0,34.44,0.0,0.0,25.2,24.4,16.0,low_bike_demand,0,0,0.09914049980054018,0.0
179,0,2,1,0,1,0,4.3,1.0,79.37,0.0,0.0,18.4,100.0,16.0,low_bike_demand,0,0,-0.02936377386255984,-0.0
180,1,2,12,0,1,0,10.6,-0.5,46.32,0.0,0.0,7.8,100.0,16.0,low_bike_demand,0,0,0.23280830059264024,0.0
181,13,4,12,0,1,0,11.9,2.9,53.9,0.0,0.0,13.0,25.3,16.0,low_bike_demand,1,0,0.1284521516932403,0.1284521516932403
182,17,5,4,0,0,1,16.2,4.7,46.55,0.0,0.0,14.4,99.3,16.0,low_bike_demand,1,1,0.3155636405994402,0.3155636405994402
183,9,0,5,1,1,1,23.0,17.9,72.93,0.0,0.0,12.5,44.6,16.0,low_bike_demand,1,0,0.1859852002034904,0.1859852002034904
184,10,4,11,0,1,0,11.5,7.8,77.95,0.0,0.0,5.0,89.9,16.0,low_bike_demand,1,0,0.05478328071034022,0.05478328071034022
